symbol,market,country,enabled
DOV,XNYS,US,true
SPG,XNYS,US,true
RL,XNYS,US,true
TT,XNYS,US,true
IDXX,XNAS,US,true
SNA,XNYS,US,true
UNP,XNYS,US,true
MKC,XNYS,US,true
KEY,XNYS,US,true
FFIV,XNAS,US,true
PNC,XNYS,US,true
C,XNYS,US,true
DLR,XNYS,US,true
GDDY,XNYS,US,true
CRM,XNYS,US,true
RJF,XNYS,US,true
MSI,XNYS,US,true
CTSH,XNAS,US,true
VIU,XTSE,CA,true
ZLB,XTSE,CA,true
ODFL,XNAS,US,true
H,XTSE,CA,true
XYL,XNYS,US,true
TXT,XNYS,US,true
CIEN,XNYS,US,true
TSN,XNYS,US,true
EIX,XNYS,US,true
DD,XNYS,US,true
CCL,XNYS,US,true
CDNS,XNAS,US,true
RCL,XNYS,US,true
UDR,XNYS,US,true
ROL,XNYS,US,true
TTWO,XNAS,US,true
SO,XNYS,US,true
KIM,XNYS,US,true
HRL,XNYS,US,true
AVGO,XNAS,US,true
TDY,XNYS,US,true
CLX,XNYS,US,true
MMM,XNYS,US,true
MAR,XNAS,US,true
MGM,XNYS,US,true
PNR,XNYS,US,true
SYK,XNYS,US,true
FLEX,XNAS,US,true
EXR,XNYS,US,true
LII,XNYS,US,true
WY,XNYS,US,true
TJX,XNYS,US,true
CASY,XNAS,US,true
AON,XNYS,US,true
FICO,XNYS,US,true
ON,XNAS,US,true
MNST,XNAS,US,true
AZO,XNYS,US,true
HON,XNAS,US,true
ADSK,XNAS,US,true
BLDR,XNYS,US,true
NOC,XNYS,US,true
CMI,XNYS,US,true
TDG,XNYS,US,true
PSA,XNYS,US,true
AEE,XNYS,US,true
SNPS,XNAS,US,true
WYNN,XNAS,US,true
NCLH,XNYS,US,true
INVH,XNYS,US,true
GD,XNYS,US,true
RTX,XNYS,US,true
ITW,XNYS,US,true
LULU,XNAS,US,true
IR,XNYS,US,true
HUBB,XNYS,US,true
IEX,XNYS,US,true
LMT,XNYS,US,true
TPR,XNYS,US,true
VMC,XNYS,US,true
MPWR,XNAS,US,true
LNT,XNAS,US,true
LHX,XNYS,US,true
MAS,XNYS,US,true
VMRK,XNYS,US,true
MCD,XNYS,US,true
PTC,XNAS,US,true
VICI,XNYS,US,true
HSY,XNYS,US,true
CHRW,XNAS,US,true
BA,XNYS,US,true
ORLY,XNAS,US,true
MCHP,XNAS,US,true
KVUE,XNYS,US,true
URI,XNYS,US,true
COO,XNAS,US,true
COST,XNAS,US,true
TXN,XNAS,US,true
ALB,XNYS,US,true
PCG,XNYS,US,true
AME,XNYS,US,true
PNW,XNYS,US,true
LUV,XNYS,US,true
STZ,XNYS,US,true
LVS,XNYS,US,true
ALGN,XNAS,US,true
PH,XNYS,US,true
CMS,XNYS,US,true
ROK,XNYS,US,true
PANW,XNAS,US,true
CSX,XNAS,US,true
PHM,XNYS,US,true
UAL,XNAS,US,true
HD,XNYS,US,true
LOW,XNYS,US,true
SHW,XNYS,US,true
IRM,XNYS,US,true
LIN,XNAS,US,true
DOW,XNYS,US,true
EFX,XNYS,US,true
PWR,XNYS,US,true
MDLZ,XNAS,US,true
PEG,XNYS,US,true
CPT,XNYS,US,true
EW,XNYS,US,true
HII,XNYS,US,true
CAT,XNYS,US,true
KHC,XNAS,US,true
IP,XNYS,US,true
DECK,XNYS,US,true
EXC,XNAS,US,true
PKG,XNYS,US,true
