symbol,market,country,enabled
PLD,XNYS,US,true
DAL,XNYS,US,true
WM,XNYS,US,true
GE,XNYS,US,true
TROW,XNAS,US,true
MLM,XNYS,US,true
JBL,XNYS,US,true
ISRG,XNAS,US,true
WSM,XNYS,US,true
DDOG,XNAS,US,true
HST,XNAS,US,true
PCAR,XNAS,US,true
CSCO,XNAS,US,true
LEN,XNYS,US,true
REG,XNAS,US,true
L,XNYS,US,true
UPS,XNYS,US,true
O,XNYS,US,true
HLT,XNYS,US,true
XEL,XNAS,US,true
DTE,XNYS,US,true
DUK,XNYS,US,true
DOC,XNYS,US,true
AFL,XNYS,US,true
KMB,XNAS,US,true
LLY,XNYS,US,true
NI,XNYS,US,true
AXON,XNAS,US,true
PPL,XNYS,US,true
SWK,XNYS,US,true
FTV,XNYS,US,true
EVRG,XNAS,US,true
CRH,XNYS,US,true
OTIS,XNYS,US,true
BXP,XNYS,US,true
TER,XNAS,US,true
KMI,XNYS,US,true
AKAM,XNAS,US,true
BKNG,XNAS,US,true
HWM,XNYS,US,true
FRT,XNYS,US,true
UNH,XNYS,US,true
FIX,XNYS,US,true
WRB,XNYS,US,true
EXPE,XNYS,US,true
AOS,XNYS,US,true
ES,XNYS,US,true
ESS,XNYS,US,true
AMAT,XNAS,US,true
WAB,XNYS,US,true
PEP,XNAS,US,true
D,XNYS,US,true
NEE,XNYS,US,true
NSC,XNYS,US,true
CNP,XNYS,US,true
CARR,XNYS,US,true
ATO,XNYS,US,true
NTAP,XNAS,US,true
FERG,XNYS,US,true
EME,XNYS,US,true
SRE,XNYS,US,true
PPG,XNYS,US,true
SYY,XNYS,US,true
EQIX,XNAS,US,true
MTB,XNYS,US,true
NXPI,XNAS,US,true
ROST,XNAS,US,true
VTR,XNYS,US,true
INTC,XNAS,US,true
TSLA,XNAS,US,true
FISV,XNAS,US,true
AIG,XNYS,US,true
MRSH,XNYS,US,true
WST,XNYS,US,true
OMC,XNYS,US,true
HCA,XNYS,US,true
CINF,XNAS,US,true
WEC,XNYS,US,true
GEHC,XNAS,US,true
ETR,XNYS,US,true
CB,XNYS,US,true
BAX,XNYS,US,true
HPE,XNYS,US,true
FITB,XNYS,US,true
GEV,XNYS,US,true
HBAN,XNAS,US,true
ADI,XNAS,US,true
NKE,XNYS,US,true
AXP,XNYS,US,true
FSLR,XNAS,US,true
STE,XNYS,US,true
UHS,XNYS,US,true
APTV,XNYS,US,true
CHD,XNYS,US,true
SW,XNYS,US,true
AEP,XNAS,US,true
ED,XNYS,US,true
ACGL,XNAS,US,true
SBUX,XNAS,US,true
GNRC,XNYS,US,true
CL,XNYS,US,true
APP,XNAS,US,true
LYV,XNYS,US,true
ECL,XNYS,US,true
AVY,XNYS,US,true
GWW,XNYS,US,true
ADBE,XNAS,US,true
DVA,XNYS,US,true
TKO,XNYS,US,true
FDX,XNYS,US,true
LRCX,XNAS,US,true
MRVL,XNAS,US,true
AMZN,XNAS,US,true
BALL,XNYS,US,true
LDOS,XNYS,US,true
EBAY,XNAS,US,true
DASH,XNAS,US,true
IBM,XNYS,US,true
FE,XNYS,US,true
GM,XNYS,US,true
DHI,XNYS,US,true
HONA,XNAS,US,true
TAP,XNYS,US,true
GRMN,XNYS,US,true
MAA,XNYS,US,true
RF,XNYS,US,true
CTAS,XNAS,US,true
HAS,XNAS,US,true
GS,XNYS,US,true
PYPL,XNAS,US,true
AMCR,XNYS,US,true
AES,XNYS,US,true
NDSN,XNAS,US,true
PM,XNYS,US,true
KLAC,XNAS,US,true
NRG,XNYS,US,true
ETN,XNYS,US,true
AMD,XNAS,US,true
JCI,XNYS,US,true
FAST,XNAS,US,true
ABBV,XNYS,US,true
INTU,XNAS,US,true
DELL,XNYS,US,true
ANET,XNYS,US,true
BSX,XNYS,US,true
UBER,XNYS,US,true
CBRE,XNYS,US,true
MSCI,XNYS,US,true
GOOG,XNAS,US,true
GOOGL,XNAS,US,true
BX,XNYS,US,true
TPL,XNYS,US,true
MTD,XNYS,US,true
ALLE,XNYS,US,true
BEN,XNYS,US,true
NVR,XNYS,US,true
CBOE,BATS,,true
YUM,XNYS,US,true
BRO,XNYS,US,true
ECHO,XNAS,US,true
TMUS,XNAS,US,true
HIG,XNYS,US,true
XOM,XNYS,US,true
NFLX,XNAS,US,true
COHR,XNYS,US,true
WMT,XNAS,US,true
FIS,XNYS,US,true
CFG,XNYS,US,true
KO,XNYS,US,true
RDDT,XNYS,US,true
BF.B,XNYS,US,true
GIS,XNYS,US,true
TTD,XNAS,US,true
APH,XNYS,US,true
A,XNYS,US,true
MS,XNYS,US,true
EMR,XNYS,US,true
ZTS,XNYS,US,true
NVDA,XNAS,US,true
BRK.B,XNYS,US,true
ALL,XNYS,US,true
APD,XNYS,US,true
LITE,XNAS,US,true
GL,XNYS,US,true
WMB,XNYS,US,true
BNY,XNYS,US,true
USB,XNYS,US,true
TFC,XNYS,US,true
DGX,XNYS,US,true
CI,XNYS,US,true
CCI,XNYS,US,true
DIS,XNYS,US,true
TRV,XNYS,US,true
LYB,XNYS,US,true
META,XNAS,US,true
MDT,XNYS,US,true
MOS,XNYS,US,true
JBHT,XNAS,US,true
CHTR,XNAS,US,true
TEL,XNYS,US,true
TSCO,XNAS,US,true
RSG,XNYS,US,true
GLW,XNYS,US,true
WDC,XNAS,US,true
BLK,XNYS,US,true
EOG,XNYS,US,true
DPZ,XNAS,US,true
ABT,XNYS,US,true
VRSK,XNAS,US,true
DLTR,XNAS,US,true
NTRS,XNAS,US,true
KEYS,XNYS,US,true
CVS,XNYS,US,true
FOX,XNAS,US,true
MU,XNAS,US,true
BR,XNYS,US,true
DRI,XNYS,US,true
ERIE,XNAS,US,true
GPN,XNYS,US,true
NWS,XNAS,US,true
QCOM,XNAS,US,true
SYF,XNYS,US,true
DHR,XNYS,US,true
WELL,XNYS,US,true
PG,XNYS,US,true
STLD,XNAS,US,true
ZBH,XNYS,US,true
MO,XNYS,US,true
TECH,XNAS,US,true
ULTA,XNAS,US,true
VRT,XNYS,US,true
SCHW,XNYS,US,true
KKR,XNYS,US,true
AMP,XNYS,US,true
CVNA,XNYS,US,true
NDAQ,XNAS,US,true
JPM,XNYS,US,true
BKR,XNAS,US,true
IBKR,XNAS,US,true
FTNT,XNAS,US,true
ORCL,XNYS,US,true
IVZ,XNYS,US,true
VLO,XNYS,US,true
CPRT,XNAS,US,true
ADP,XNAS,US,true
WTW,XNAS,US,true
VLTO,XNYS,US,true
PAYX,XNAS,US,true
FOXA,XNAS,US,true
GPC,XNYS,US,true
FANG,XNAS,US,true
ZBRA,XNAS,US,true
ADM,XNYS,US,true
ARES,XNYS,US,true
KR,XNYS,US,true
HSIC,XNAS,US,true
DXCM,XNAS,US,true
AMT,XNYS,US,true
FCX,XNYS,US,true
PLTR,XNAS,US,true
PODD,XNAS,US,true
STT,XNYS,US,true
MCO,XNYS,US,true
PFG,XNAS,US,true
TGT,XNYS,US,true
HPQ,XNYS,US,true
EL,XNYS,US,true
BAC,XNYS,US,true
CRWD,XNAS,US,true
AIZ,XNYS,US,true
CMCSA,XNAS,US,true
VRSN,XNAS,US,true
PRU,XNYS,US,true
OXY,XNYS,US,true
VST,XNYS,US,true
STX,XNAS,US,true
IFF,XNYS,US,true
OKE,XNYS,US,true
ABNB,XNAS,US,true
COF,XNYS,US,true
ELV,XNYS,US,true
APO,XNYS,US,true
BBY,XNYS,US,true
F,XNYS,US,true
MPC,XNYS,US,true
PSX,XNYS,US,true
MET,XNYS,US,true
EG,XNYS,US,true
CSGP,XNAS,US,true
GILD,XNAS,US,true
HAL,XNYS,US,true
J,XNYS,US,true
CNC,XNYS,US,true
SBAC,XNAS,US,true
BG,XNYS,US,true
INCY,XNAS,US,true
AMGN,XNAS,US,true
SNDK,XNAS,US,true
VZ,XNYS,US,true
WFC,XNYS,US,true
SMCI,XNAS,US,true
DG,XNYS,US,true
SWKS,XNAS,US,true
XYZ,XNYS,US,true
ARE,XNYS,US,true
NUE,XNYS,US,true
RMD,XNYS,US,true
VTRS,XNAS,US,true
AWK,XNYS,US,true
HUM,XNYS,US,true
CME,XNAS,US,true
AJG,XNYS,US,true
PGR,XNYS,US,true
COIN,XNAS,US,true
JKHY,XNAS,US,true
AAPL,XNAS,US,true
ROP,XNAS,US,true
FDS,XNYS,US,true
LH,XNYS,US,true
SJM,XNYS,US,true
EXPD,XNYS,US,true
NWSA,XNAS,US,true
ICE,XNYS,US,true
CF,XNYS,US,true
CEG,XNAS,US,true
HOOD,XNAS,US,true
SLB,XNYS,US,true
MA,XNYS,US,true
V,XNYS,US,true
WDAY,XNAS,US,true
EQT,XNYS,US,true
EXE,XNAS,US,true
DE,XNYS,US,true
RVTY,XNYS,US,true
WAT,XNYS,US,true
TRMB,XNAS,US,true
TRGP,XNYS,US,true
WBD,XNAS,US,true
CMG,XNYS,US,true
TMO,XNYS,US,true
CDW,XNAS,US,true
CPAY,XNYS,US,true
BMY,XNYS,US,true
IT,XNYS,US,true
T,XNYS,US,true
CRL,XNYS,US,true
COR,XNYS,US,true
SPGI,XNYS,US,true
GEN,XNAS,US,true
ACN,XNYS,US,true
VRTX,XNAS,US,true
DVN,XNYS,US,true
MSFT,XNAS,US,true
BDX,XNYS,US,true
MCK,XNYS,US,true
APA,XNAS,US,true
REGN,XNAS,US,true
CAH,XNYS,US,true
PFE,XNYS,US,true
CTVA,XNYS,US,true
COP,XNYS,US,true
JNJ,XNYS,US,true
MRNA,XNAS,US,true
KDP,XNAS,US,true
NEM,XNYS,US,true
IQV,XNYS,US,true
PSKY,XNAS,US,true
MRK,XNYS,US,true
BIIB,XNAS,US,true
TYL,XNYS,US,true
NOW,XNYS,US,true
SOLV,XNYS,US,true
VEEV,XNYS,US,true
CVX,XNYS,US,true
ATD,XTSE,CA,true
CNDU,XTSE,CA,true
STN,XTSE,CA,true
TXF,XTSE,CA,true
XEQT,XTSE,CA,true
BDT,XTSE,CA,true
BRK,XTSE,CA,true
XBAL,XTSE,CA,true
AAON,XNAS,US,true
ABXX,XTSE,CA,true
ANRG,XTSE,CA,true
BEPC,XTSE,CA,true
BNS,XTSE,CA,true
CCO,XTSE,CA,true
CLS,XTSE,CA,true
CNQ,XTSE,CA,true
COW,XTSE,CA,true
CP,XTSE,CA,true
CWW,XTSE,CA,true
HTO,XNAS,US,true
KILO.B,XTSE,CA,true
LNN,XNYS,US,true
LNR,XTSE,CA,true
MOD,XNYS,US,true
NTR,XTSE,CA,true
TD,XTSE,CA,true
VDY,XTSE,CA,true
VE,XTSE,CA,true
VMI,XNYS,US,true
WTS,XNYS,US,true
XIC,XTSE,CA,true
ZEB,XTSE,CA,true
ALCH,XTSX,CA,true
AXO,XTSX,CA,true
BCBN,NEOE,,true
EU,XTSX,CA,true
LMCU,XTSE,CA,true
NICE,XTSX,CA,true
SUN,XTSX,CA,true
EEMV,BATS,,true
QCN,XTSE,CA,true
VTI,ARCX,US,true
ZEA,XTSE,CA,true
ZSP,XTSE,CA,true
CGO,XTSE,CA,true
ENB,XTSE,CA,true
SVRS,XTSX,CA,true
FF,XTSE,CA,true
MFC,XTSE,CA,true
AAG,XTSX,CA,true
BTE,XTSE,CA,true
BTO,XTSE,CA,true
SU,XTSE,CA,true
BN,XTSE,CA,true
GSVR,XTSX,CA,true
AGI,XTSE,CA,true
VGC,XTSE,CA,true
K,XTSE,CA,true
EQX,XTSE,CA,true
TRP,XTSE,CA,true
RY,XTSE,CA,true
CSH.UN,XTSE,CA,true
ABX,XTSE,CA,true
TLG,XTSE,CA,true
GGD,XTSE,CA,true
ATH,XTSE,CA,true
BHC,XTSE,CA,true
CGX,XTSE,CA,true
IMG,XTSE,CA,true
DSV,XTSE,CA,true
TA,XTSE,CA,true
CVE,XTSE,CA,true
CM,XTSE,CA,true
BIR,XTSE,CA,true
QSR,XTSE,CA,true
EMA,XTSE,CA,true
SLF,XTSE,CA,true
MG,XTSE,CA,true
TOU,XTSE,CA,true
WCP,XTSE,CA,true
OGC,XTSE,CA,true
TPZ,XTSE,CA,true
TVE,XTSE,CA,true
BCE,XTSE,CA,true
OTEX,XTSE,CA,true
BMO,XTSE,CA,true
AAUC,XTSE,CA,true
RCI.B,XTSE,CA,true
NPI,XTSE,CA,true
BAM,XTSE,CA,true
APM,XTSE,CA,true
CS,XTSE,CA,true
CRT.UN,XTSE,CA,true
GEI,XTSE,CA,true
QBR.B,XTSE,CA,true
SHOP,XTSE,CA,true
SCZ,XTSX,CA,true
AGMR,XTSE,CA,true
ALA,XTSE,CA,true
AEM,XTSE,CA,true
FM,XTSE,CA,true
IVN,XTSE,CA,true
FTS,XTSE,CA,true
X,XTSE,CA,true
AYA,XTSE,CA,true
AQN,XTSE,CA,true
VZLA,XTSE,CA,true
NA,XTSE,CA,true
REI.UN,XTSE,CA,true
PXT,XTSE,CA,true
CU,XTSE,CA,true
CNR,XTSE,CA,true
ARX,XTSE,CA,true
AG,XTSE,CA,true
FVI,XTSE,CA,true
ARIS,XTSE,CA,true
HWX,XTSE,CA,true
PAAS,XTSE,CA,true
TECK.B,XTSE,CA,true
LUN,XTSE,CA,true
NXE,XTSE,CA,true
SDE,XTSE,CA,true
KNT,XTSE,CA,true
GIL,XTSE,CA,true
HBM,XTSE,CA,true
TRI,XTSE,CA,true
POW,XTSE,CA,true
MRU,XTSE,CA,true
TXG,XTSE,CA,true
GWO,XTSE,CA,true
LUG,XTSE,CA,true
CEU,XTSE,CA,true
KEL,XTSE,CA,true
MDA,XTSE,CA,true
SSRM,XTSE,CA,true
DOL,XTSE,CA,true
ORE,XTSE,CA,true
CAE,XTSE,CA,true
KEEL,XTSE,CA,true
FCR.UN,XTSE,CA,true
RGSI,XTSE,CA,true
ELD,XTSE,CA,true
GIB.A,XTSE,CA,true
WPM,XTSE,CA,true
SCR,XTSE,CA,true
ATRL,XTSE,CA,true
IFC,XTSE,CA,true
WN,XTSE,CA,true
OR,XTSE,CA,true
EFN,XTSE,CA,true
ACO.X,XTSE,CA,true
ATZ,XTSE,CA,true
AC,XTSE,CA,true
SIA,XTSE,CA,true
EFR,XTSE,CA,true
CCA,XTSE,CA,true
BIP.UN,XTSE,CA,true
SKE,XTSE,CA,true
MAU,XTSE,CA,true
VNP,XTSE,CA,true
BB,XTSE,CA,true
IGM,XTSE,CA,true
LB,XTSE,CA,true
ABRA,XTSE,CA,true
FTT,XTSE,CA,true
GLO,XTSE,CA,true
SRU.UN,XTSE,CA,true
AGF.B,XTSE,CA,true
OM,XTSE,CA,true
DML,XTSE,CA,true
LIF,XTSE,CA,true
GRGD,XTSE,CA,true
SAP,XTSE,CA,true
CAR.UN,XTSE,CA,true
DSG,XTSE,CA,true
RIO,XTSE,CA,true
IAU,XTSE,CA,true
CTC.A,XTSE,CA,true
CPX,XTSE,CA,true
VET,XTSE,CA,true
CCL.B,XTSE,CA,true
HR.UN,XTSE,CA,true
GMIN,XTSE,CA,true
QNC,XTSX,CA,true
KMP.UN,XTSE,CA,true
MX,XTSE,CA,true
EMP.A,XTSE,CA,true
ATS,XTSE,CA,true
PNG,XTSX,CA,true
CRR.UN,XTSE,CA,true
MGA,XTSE,CA,true
IMO,XTSE,CA,true
BBD.B,XTSE,CA,true
SPB,XTSE,CA,true
WSP,XTSE,CA,true
WDO,XTSE,CA,true
ERO,XTSE,CA,true
CHP.UN,XTSE,CA,true
RBA,XTSE,CA,true
EDV,XTSE,CA,true
DPM,XTSE,CA,true
CJ,XTSE,CA,true
DIR.UN,XTSE,CA,true
PEY,XTSE,CA,true
PSK,XTSE,CA,true
TIH,XTSE,CA,true
SEA,XTSE,CA,true
SOBO,XTSE,CA,true
SLVR,XTSE,CA,true
FDY,XTSE,CA,true
SGD,XTSE,CA,true
CAS,XTSE,CA,true
WCN,XTSE,CA,true
RCH,XTSE,CA,true
TNZ,XTSE,CA,true
AFM,XTSX,CA,true
FSV,XTSE,CA,true
SVM,XTSE,CA,true
FNV,XTSE,CA,true
PD,XTSE,CA,true
NDM,XTSE,CA,true
TFPM,XTSE,CA,true
EIF,XTSE,CA,true
IAG,XTSE,CA,true
CG,XTSE,CA,true
BEP.UN,XTSE,CA,true
TFII,XTSE,CA,true
BLDP,XTSE,CA,true
BIPC,XTSE,CA,true
BYD,XTSE,CA,true
LAC,XTSE,CA,true
NG,XTSE,CA,true
NEO,XTSE,CA,true
ONEX,XTSE,CA,true
APTX,XTSE,CA,true
SXGC,XTSE,CA,true
FRU,XTSE,CA,true
AAV,XTSE,CA,true
GFL,XTSE,CA,true
EDR,XTSE,CA,true
ASM,XTSE,CA,true
HIVE,XTSE,CA,true
RUS,XTSE,CA,true
FLT,XTSE,CA,true
SLS,XTSE,CA,true
TCW,XTSE,CA,true
SJ,XTSE,CA,true
GAU,XTSE,CA,true
LSPD,XTSE,CA,true
ALS,XTSE,CA,true
AP.UN,XTSE,CA,true
SIS,XTSE,CA,true
EQB,XTSE,CA,true
ENGH,XTSE,CA,true
BRC,XTSX,CA,true
ARG,XTSE,CA,true
WFG,XTSE,CA,true
SVI,XTSE,CA,true
VITL.UN,XTSE,CA,true
ARTG,XTSX,CA,true
MFI,XTSE,CA,true
GRT.UN,XTSE,CA,true
SGY,XTSE,CA,true
DFY,XTSE,CA,true
AIF,XTSE,CA,true
LGD,XTSE,CA,true
PSI,XTSE,CA,true
DIV,XTSE,CA,true
OVV,XTSE,CA,true
PPTA,XTSE,CA,true
MER,XTSE,CA,true
RSI,XTSE,CA,true
SII,XTSE,CA,true
DOO,XTSE,CA,true
FFH,XTSE,CA,true
NWC,XTSE,CA,true
VLE,XTSE,CA,true
POU,XTSE,CA,true
CSU,XTSE,CA,true
ASTL,XTSE,CA,true
MATR,XTSE,CA,true
BNT,XTSE,CA,true
MTL,XTSE,CA,true
ITR,XTSX,CA,true
PMZ.UN,XTSE,CA,true
BNKR,XTSE,CA,true
BEI.UN,XTSE,CA,true
TCL.A,XTSE,CA,true
MDI,XTSE,CA,true
ELVA,XTSE,CA,true
FSZ,XTSE,CA,true
NGEX,XTSE,CA,true
WPK,XTSE,CA,true
SOIL,XTSE,CA,true
LUNR,XTSE,CA,true
NUAG,XTSE,CA,true
JWEL,XTSE,CA,true
PMET,XTSE,CA,true
TSU,XTSE,CA,true
HMMC,XTSE,CA,true
NFI,XTSE,CA,true
CIA,XTSE,CA,true
IFP,XTSE,CA,true
OBE,XTSE,CA,true
KXS,XTSE,CA,true
TSK,XTSE,CA,true
ATX,XTSE,CA,true
PBH,XTSE,CA,true
ACB,XTSE,CA,true
ESI,XTSE,CA,true
BBUC,XTSE,CA,true
VBNK,XTSE,CA,true
PET,XTSE,CA,true
GOOS,XTSE,CA,true
LMN,XTSX,CA,true
JAG,XTSE,CA,true
ISO,XTSE,CA,true
TF,XTSE,CA,true
MARI,XTSE,CA,true
CVVY,XTSE,CA,true
WEED,XTSE,CA,true
DBO,XTSE,CA,true
AFN,XTSE,CA,true
CFP,XTSE,CA,true
CRON,XTSE,CA,true
CIGI,XTSE,CA,true
BDGI,XTSE,CA,true
FVL,XTSE,CA,true
TMQ,XTSE,CA,true
SES,XTSE,CA,true
LGO,XTSE,CA,true
WRN,XTSE,CA,true
TLO,XTSE,CA,true
MAI,XTSE,CA,true
JOY,XTSE,CA,true
LAR,XTSE,CA,true
ALK,XTSE,CA,true
GCU,XTSE,CA,true
TOT,XTSE,CA,true
STGO,XTSE,CA,true
TLRY,XTSE,CA,true
CLCH,XTSE,CA,true
ACX,XTSE,CA,true
PRL,XTSE,CA,true
HUT,XTSE,CA,true
CJT,XTSE,CA,true
S,XTSE,CA,true
XTRA,XTSE,CA,true
PNPN,XTSX,CA,true
SGR.UN,XTSE,CA,true
III,XTSE,CA,true
CHE.UN,XTSE,CA,true
WTE,XTSE,CA,true
BDI,XTSE,CA,true
NOU,XTSE,CA,true
SASK,XTSX,CA,true
CNL,XTSE,CA,true
CURA,XTSE,CA,true
DCBO,XTSE,CA,true
TAL,XTSE,CA,true
STLR,XTSE,CA,true
CVO,XTSE,CA,true
CDE,XTSE,CA,true
CDR,XTSE,CA,true
GOLD,XTSE,CA,true
NANO,XTSE,CA,true
NXR.UN,XTSE,CA,true
TOY,XTSE,CA,true
URE,XTSE,CA,true
DBM,XTSE,CA,true
FUU,XTSX,CA,true
AD.UN,XTSE,CA,true
MSA,XTSE,CA,true
IPCO,XTSE,CA,true
CVV,XTSX,CA,true
CGG,XTSE,CA,true
VHI,XTSE,CA,true
MNO,XTSE,CA,true
CFW,XTSE,CA,true
MRE,XTSE,CA,true
GENM,XTSE,CA,true
LUCA,XTSX,CA,true
GFR,XTSE,CA,true
ORV,XTSE,CA,true
CWEB,XTSE,CA,true
HSTR,XTSX,CA,true
ADEN,XTSE,CA,true
WGX,XTSE,CA,true
WJX,XTSE,CA,true
MOLY,XTSE,CA,true
NICU,XTSE,CA,true
MTY,XTSE,CA,true
IPO,XTSE,CA,true
QTRH,XTSE,CA,true
LAM,XTSE,CA,true
TRX,XTSE,CA,true
ACQ,XTSE,CA,true
AI,XTSE,CA,true
HPS.A,XTSE,CA,true
TVK,XTSE,CA,true
TOI,XTSX,CA,true
FURY,XTSE,CA,true
VMET,XTSE,CA,true
VGZ,XTSE,CA,true
CADY,XTSE,CA,true
TWM,XTSE,CA,true
GSY,XTSE,CA,true
TALA,XTSE,CA,true
OCG,XTSE,CA,true
PHX,XTSE,CA,true
TI,XTSE,CA,true
FEC,XTSE,CA,true
CGY,XTSE,CA,true
CRDL,XTSE,CA,true
BTB.UN,XTSE,CA,true
ELO,XTSE,CA,true
YGR,XTSE,CA,true
FWZ,XTSX,CA,true
ERD,XTSE,CA,true
XNDU,XTSE,CA,true
CHR,XTSE,CA,true
LGN,XTSX,CA,true
NFG,XTSX,CA,true
PDN,XTSE,CA,true
ARN,XTSE,CA,true
DIAM,XTSE,CA,true
CPKR,XTSE,CA,true
AGTF,XTSE,CA,true
PRV.UN,XTSE,CA,true
ETG,XTSE,CA,true
PRQ,XTSE,CA,true
ESM,XTSE,CA,true
SLI,XTSX,CA,true
GRID,XTSE,CA,true
MKP,XTSE,CA,true
VOXR,XTSE,CA,true
ELF,XTSE,CA,true
DCM,XTSE,CA,true
FAR,XTSE,CA,true
FC,XTSE,CA,true
MAL,XTSE,CA,true
PZA,XTSE,CA,true
ARA,XTSE,CA,true
AMC,XTSE,CA,true
SYH,XTSX,CA,true
